"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"BeNursingPrescription","BeNursingPrescription","","","",0,*,"","","","","","Logical model describing the model for the prescription referral. This draft is used in the HL7 Belgian workgroup for referral.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeNursingPrescription.recordedDate","BeNursingPrescription.recordedDate","","","",1,1,"","","","dateTime {[]} {[]}
","When this prescription was created","When this prescription was created","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.recordedDate",1,1,"",""
"BeNursingPrescription.prescriber","BeNursingPrescription.prescriber","","","",1,1,"","","","Reference {[]} {[]}
","The prescribing healthcare party","The prescribing healthcare party","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.prescriber",1,1,"",""
"BeNursingPrescription.co-prescriber","BeNursingPrescription.co-prescriber","","","",0,*,"","","","BackboneElement {[]} {[]}
","Information about co prescribers","Information about co prescribers","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.co-prescriber",0,*,"",""
"BeNursingPrescription.co-prescriber.co-prescriber","BeNursingPrescription.co-prescriber.co-prescriber","","","",0,1,"","","","Reference {[]} {[]}
","The co-prescriber party","The co-prescriber party","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.co-prescriber.co-prescriber",0,1,"",""
"BeNursingPrescription.co-prescriber.co-prescriberType","BeNursingPrescription.co-prescriber.co-prescriberType","","","",0,1,"","","","code {[]} {[]}
","Type of the practitioner","Type of the practitioner","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.co-prescriber.co-prescriberType",0,1,"",""
"BeNursingPrescription.co-prescriber.status","BeNursingPrescription.co-prescriber.status","","","",0,1,"","","","code {[]} {[]}
","Status of co prescribing status (to sign, signed or refused)","Status of co prescribing status (to sign, signed or refused)","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.co-prescriber.status",0,1,"",""
"BeNursingPrescription.patient","BeNursingPrescription.patient","","","",1,1,"","","","Reference {[]} {[]}
","The SSIN of the person for which the referral is prescribed.","The SSIN of the person for which the referral is prescribed.","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.patient",1,1,"",""
"BeNursingPrescription.prescriptionNumber","BeNursingPrescription.prescriptionNumber","","","",0,1,"","","","Identifier {[]} {[]}
","An identifier for the ReferralPrescription, e.g. the UHMEP identifier, once available","An identifier for the ReferralPrescription, e.g. the UHMEP identifier, once available","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.prescriptionNumber",0,1,"",""
"BeNursingPrescription.ppsNumber","BeNursingPrescription.ppsNumber","","","",0,1,"","","","Identifier {[]} {[]}
","An identifier for the Prescription Proposal Support","An identifier for the Prescription Proposal Support","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.ppsNumber",0,1,"",""
"BeNursingPrescription.ppsRejectionReason","BeNursingPrescription.ppsRejectionReason","","","",0,1,"","","","Annotation {[]} {[]}
","Reason for not following the PPS suggestion","Reason for not following the PPS suggestion","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.ppsRejectionReason",0,1,"",""
"BeNursingPrescription.requisition","BeNursingPrescription.requisition","","","",0,1,"","","","Identifier {[]} {[]}
","An identifier for the bundle this prescription belongs to. The type of bundle can be indicated in the type of the identifier","An identifier for the bundle this prescription belongs to. The type of bundle can be indicated in the type of the identifier","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.requisition",0,1,"",""
"BeNursingPrescription.basedOn","BeNursingPrescription.basedOn","","","",0,*,"","","","Reference {[]} {[]}
","The original request or prescription triggered this prescription","The original request or prescription that is the reason for this request - for example when a detailed request is created by a broader request.","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.basedOn",0,*,"",""
"BeNursingPrescription.validitionPeriod","BeNursingPrescription.validitionPeriod","","","",1,1,"","","","Period {[]} {[]}
","Period of validity of prescription","Period of validity of prescription","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.validitionPeriod",1,1,"",""
"BeNursingPrescription.treatmentPeriod","BeNursingPrescription.treatmentPeriod","","","",0,1,"","","","Period {[]} {[]}
","When this prescription is executed, available after start of execution","When this prescription is executed, available after start of execution","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.treatmentPeriod",0,1,"",""
"BeNursingPrescription.treatmentValidationEndDate","BeNursingPrescription.treatmentValidationEndDate","","","",0,1,"","","","dateTime {[]} {[]}
","The latest moment to end this treatment","The latest moment to end this treatment","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.treatmentValidationEndDate",0,1,"",""
"BeNursingPrescription.intendedPerformer","BeNursingPrescription.intendedPerformer","","","",0,*,"","","","BackboneElement {[]} {[]}
","The intended provider, i.e. who is expected to perform the procedure - a specific person or a speciality","The intended provider, i.e. who is expected to perform the procedure - a specific person or a speciality","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.intendedPerformer",0,*,"",""
"BeNursingPrescription.intendedPerformer.performer","BeNursingPrescription.intendedPerformer.performer","","","",0,*,"","","","Reference {[]} {[]}
","A reference to the provider party (e.g. a NIHDI number for a healthcare professional, a SSIN or only a displaystring for a non professional caregiver,...)","A reference to the provider party (e.g. a NIHDI number for a healthcare professional, a SSIN or only a displaystring for a non professional caregiver,...)","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.intendedPerformer.performer",0,*,"",""
"BeNursingPrescription.intendedPerformer.discipline","BeNursingPrescription.intendedPerformer.discipline","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The required discipline of the provider party","The required discipline of the provider party","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.intendedPerformer.discipline",1,1,"",""
"BeNursingPrescription.intendedPerformer.period","BeNursingPrescription.intendedPerformer.period","","","",1,1,"","","","Period {[]} {[]}
","Start and enddate for the particular provider","Start and enddate for the particular provider","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.intendedPerformer.period",1,1,"",""
"BeNursingPrescription.toBePerformedAfter","BeNursingPrescription.toBePerformedAfter","","","",0,1,"","","","Reference {[]} {[]}
","The current prescription should be performed after this one","The current prescription should be performed after this one","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.toBePerformedAfter",0,1,"",""
"BeNursingPrescription.serviceRequested","BeNursingPrescription.serviceRequested","","","",1,1,"","","","CodeableConcept {[]} {[]}
","What is prescribed","What is prescribed","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.serviceRequested",1,1,"",""
"BeNursingPrescription.problemCode","BeNursingPrescription.problemCode","","","",1,1,"","","","Reference {[]} {[]}
","The problem (code or reference) that is the main reason for this prescription","The problem (code or reference) that is the main reason for this prescription","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.problemCode",1,1,"",""
"BeNursingPrescription.supportingInfo","BeNursingPrescription.supportingInfo","","","",0,1,"","","","Reference {[]} {[]}
","Care Set Problem","Care Set Problem","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.supportingInfo",0,1,"",""
"BeNursingPrescription.resultReceiver","BeNursingPrescription.resultReceiver","","","",0,1,"","","","boolean {[]} {[]}
","True if the prescriber wants feedback. Other caregivers can be mentioned in the note","True if the prescriber wants feedback. Other caregivers can be mentioned in the note","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.resultReceiver",0,1,"",""
"BeNursingPrescription.status","BeNursingPrescription.status","","","",0,1,"","","","code {[]} {[]}
","Current status","Current status","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/request-status","",,,,"BeReferralPrescription.status",0,1,"",""
"BeNursingPrescription.statusReason","BeNursingPrescription.statusReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Reason current status","Reason current status","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.statusReason",0,1,"",""
"BeNursingPrescription.treatmentStatus","BeNursingPrescription.treatmentStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Status of the treatment","Status of the treatment","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.treatmentStatus",0,1,"",""
"BeNursingPrescription.treatmentStatusReason","BeNursingPrescription.treatmentStatusReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Reason treatment status","Reason treatment status","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.treatmentStatusReason",0,1,"",""
"BeNursingPrescription.bodyLocation","BeNursingPrescription.bodyLocation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Place where the treatment should be executed","Place where the treatment should be executed","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.bodyLocation",0,*,"",""
"BeNursingPrescription.bodyLocation.bodySite","BeNursingPrescription.bodyLocation.bodySite","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Anatomical place where the treatment should be executed","Anatomical place where the treatment should be executed","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.bodyLocation.bodySite",0,1,"",""
"BeNursingPrescription.bodyLocation.bodyLaterality","BeNursingPrescription.bodyLocation.bodyLaterality","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Side of the body","Side of the body","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.bodyLocation.bodyLaterality",0,1,"",""
"BeNursingPrescription.note","BeNursingPrescription.note","","","",0,*,"","","","Annotation {[]} {[]}
","Additional text notes about the request.","Additional text notes about the request.","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.note",0,*,"",""
"BeNursingPrescription.intent","BeNursingPrescription.intent","","","",1,1,"","","","code {[]} {[]}
","Proposal, Prolongation, Prescription","Proposal, Prolongation, Prescription","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.intent",1,1,"",""
"BeNursingPrescription.serviceRequestNumber","BeNursingPrescription.serviceRequestNumber","","","",0,1,"","","","positiveInt {[]} {[]}
","number of sessions prescribed","number of sessions prescribed","","","","","","","","","",,,,,"",,,,"BeNursingPrescription.serviceRequestNumber",0,1,"",""
"BeNursingPrescription.serviceRequestFrequency","BeNursingPrescription.serviceRequestFrequency","","","",0,1,"","","","CodeableConcept {[]} {[]}
","frequency of the treatment","frequency of the treatment","","","","","","","","","",,,,,"",,,,"BeNursingPrescription.serviceRequestFrequency",0,1,"",""
"BeNursingPrescription.serviceRequestDayPeriod","BeNursingPrescription.serviceRequestDayPeriod","","","",0,*,"","","","CodeableConcept {[]} {[]}
","period of the day on which the treatment must take place","period of the day on which the treatment must take place","","","","","","","","","",,,,,"",,,,"BeNursingPrescription.serviceRequestDayPeriod",0,*,"",""
"BeNursingPrescription.route","BeNursingPrescription.route","","","",0,1,"","","","CodeableConcept {[]} {[]}
","administration route of the treatment","administration route of the treatment","","","","","","","","","",,,,,"",,,,"BeNursingPrescription.route",0,1,"",""
