"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeReferralPrescription","","","",0,*,"","","","","","","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeReferralPrescription.identifier","","","",0,*,"","","","Identifier {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Identifier]]} {[]}
","An identifier for the ReferralPrescription, e.g. the UHMEP identifier, once available","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.identifier",0,*,"",""
"BeReferralPrescription.status","","","",1,1,"","","","code {[CanonicalType[http://hl7.org/fhir/StructureDefinition/code]]} {[]}
","Current status","","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/request-status","",,,,"BeReferralPrescription.status",1,1,"",""
"BeReferralPrescription.reasonCurrentStatus","","","",1,1,"","","","CodeableConcept {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CodeableConcept]]} {[]}
","","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.reasonCurrentStatus",1,1,"",""
"BeReferralPrescription.authoredOn","","","",1,1,"","","","dateTime {[CanonicalType[http://hl7.org/fhir/StructureDefinition/dateTime]]} {[]}
","When this prescription was created","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.authoredOn",1,1,"",""
"BeReferralPrescription.prescriber","","","",1,1,"","","","Reference {[]} {[]}
","The prescribing healthcare party","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.prescriber",1,1,"",""
"BeReferralPrescription.co-prescriber","","","",0,*,"","","","BackboneElement {[]} {[]}
","Information about co prescribers","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.co-prescriber",0,*,"",""
"BeReferralPrescription.co-prescriber.co-prescriber","","","",1,1,"","","","Reference {[]} {[]}
","The co-prescriber party","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.co-prescriber.co-prescriber",1,1,"",""
"BeReferralPrescription.co-prescriber.co-prescriberSubstitute","","","",0,1,"","","","Reference {[]} {[]}
","NIHDI of co prescriber substitute party","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.co-prescriber.co-prescriberSubstitute",0,1,"",""
"BeReferralPrescription.co-prescriber.status","","","",1,1,"","","","code {[CanonicalType[http://hl7.org/fhir/StructureDefinition/code]]} {[]}
","Status of co prescribing status (to sign, signed or refused)","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.co-prescriber.status",1,1,"",""
"BeReferralPrescription.patient","","","",1,1,"","","","Reference {[]} {[]}
","The SSIN of the person for which the referral is prescribed.","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.patient",1,1,"",""
"BeReferralPrescription.originalRequest","","","",0,1,"","","","Reference {[]} {[]}
","The original request or prescription triggered this prescription","The original request or prescription that is the reason for this request - for example when a detailed request is created by a broader request.","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.originalRequest",0,1,"",""
"BeReferralPrescription.reason","","","",0,*,"","","","CodeableReference {[]} {[]}
","The problem (code or reference) that is the main reason for this prescription","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.reason",0,*,"",""
"BeReferralPrescription.intendedProvider","","","",0,*,"","","","BackboneElement {[]} {[]}
","The intended provider, i.e. who is expected to perform the procedure - a specific person or a speciality","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.intendedProvider",0,*,"",""
"BeReferralPrescription.intendedProvider.provider","","","",0,*,"","","","Reference {[]} {[]}
","A reference to the provider party (e.g. a NIHDI number for a healthcare professional, a SSIN or only a displaystring for a non professional caregiver,...)","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.intendedProvider.provider",0,*,"",""
"BeReferralPrescription.intendedProvider.discipline","","","",1,1,"","","","CodeableConcept {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CodeableConcept]]} {[]}
","The required discipline of the provider party","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.intendedProvider.discipline",1,1,"",""
"BeReferralPrescription.validityPeriod","","","",1,1,"","","","Period {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Period]]} {[]}
","Period of validity of prescription","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.validityPeriod",1,1,"",""
"BeReferralPrescription.executionPeriod","","","",0,1,"","","","Period {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Period]]} {[]}
","When this prescription is executed, available after start of execution","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.executionPeriod",0,1,"",""
"BeReferralPrescription.prescribedService","","","",1,1,"","","","CodeableConcept {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CodeableConcept]]} {[]}
","What is prescribed","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.prescribedService",1,1,"",""
"BeReferralPrescription.resultReceiver","","","",0,*,"","","","Reference {[]} {[]}
","Parties that shall be informed of the results of the prescription other then the prescriber.","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.resultReceiver",0,*,"",""
"BeReferralPrescription.note","","","",0,1,"","","","Annotation {[]} {[]}
","Additional text notes about the request.","","","","","","","","","","",,,,,"",,,,"BeReferralPrescription.note",0,1,"",""
