URL,Version,Status,OIDs,Name,Title,Description,Used
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-cs-care-proposal-status-reason,1.0.0,draft,,BeCSCareProposalStatusReason,BeCSCareProposalStatusReason,"DEMONSTRATIVE EXAMPLE - Status reason for the care proposal (Annex 81)",
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-cs-temp-requested-service,1.0.0,active,,BeTempRequestedService,BeTempRequestedService,"DEMONSTRATIVE EXAMPLE - Temporary codes for indicating services that can be requested from a Nurse",
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-cs-temp-requested-service-detail,1.0.0,active,,BeTempRequestedServiceDetail,BeTempRequestedServiceDetail,"DEMONSTRATIVE EXAMPLE - Temporary codes for indicating service details that can be requested from a Nurse",
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-prescription-status-reason,1.0.0,active,,BePrescriptionStatusReason,BePrescriptionStatusReason,"DEMONSTRATIVE EXAMPLE - Status reason for the prescription. Initially defined as supporting CodeSystem for the referral prescription.",
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-treatment-status-reason,1.0.0,active,,BeTreatmentStatusReason,BeTreatmentStatusReason,"DEMONSTRATIVE EXAMPLE - Status reason for the treatment. Initially defined as supporting CodeSystem for the referral prescription.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-diabetic-education-type,1.0.0,active,,BeCSdiabeticEducationType,DRP Diabetic Education Type,"Types of diabetes education activities.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-generic-care-types,1.0.0,active,,BeCSGenericCareTypes,DRP Generic Care Types,"Types of care that can be prescribed via the generic prescription.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-glycemia-measurement-timing,1.0.0,active,,BeCSGlycemiaMeasurementTiming,DRP Glycemia Measurement Timing,"Timing of glycemia measurements.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-note-types,1.0.0,active,,BeCSNoteTypes,DRP Note Types,"Types of notes that can be associated with a prescription.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-prescription-type,1.0.0,active,,BeCSPrescriptionType,DRP Prescription Type,"Technical types of prescriptions supported by the DRP system. Used for routing and workflow purposes.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-session-types,1.0.0,active,,BeCSSessionTypes,DRP Session Types,"Types of sessions for education or care activities.",
