URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/be-vs-task-intent,ValueSet/request-intent,ValueSet/task-intent,ValueSet/be-vs-request-intent"
http://hl7.org/fhir/task-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.1241",TaskIntent,TaskIntent,"Distinguishes whether the task is a proposal, plan or full order.","ValueSet/task-intent"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/be-vs-body-topography,ValueSet/be-vs-request-note-type,ValueSet/be-vs-referral-category,ValueSet/be-vs-bodysite-nursing,ValueSet/be-vs-categories-of-care,ValueSet/be-vs-requested-services-nurse,ValueSet/be-vs-body-site,ValueSet/be-vs-requested-services-nurse-detail,ValueSet/be-vs-body-laterality,ValueSet/procedure-code,ValueSet/be-vs-care-proposal-reason-code"
http://terminology.hl7.org/CodeSystem/v3-ActReason,4.0.0,active,"2.16.840.1.113883.5.8",ActReason,ActReason,"A set of codes specifying the motivation, cause, or rationale of an Act, when such rationale is not reasonably represented as an ActRelationship of type ""has reason"" linking to another Act.    *Examples:* Example reasons that might qualify for being coded in this field might be: ""routine requirement"", ""infectious disease reporting requirement"", ""on patient request"", ""required by law"".","ValueSet/be-vs-performer-task-status-reason"
https://www.ehealth.fgov.be/standards/fhir/core/CodeSystem/cd-hcparty,2.1.2,active,,HCParty,BeCdHcParty,"healthcare party in Belgium.","ValueSet/be-vs-cd-hcparty"
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-cs-care-proposal-status-reason,1.0.0,draft,,BeCSCareProposalStatusReason,BeCSCareProposalStatusReason,"DEMONSTRATIVE EXAMPLE - Status reason for the care proposal (Annex 81)","ValueSet/be-vs-care-proposal-status-reason"
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-cs-temp-requested-service,1.0.0,active,,BeTempRequestedService,BeTempRequestedService,"DEMONSTRATIVE EXAMPLE - Temporary codes for indicating services that can be requested from a Nurse","ValueSet/be-vs-requested-services-nurse"
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-cs-temp-requested-service-detail,1.0.0,active,,BeTempRequestedServiceDetail,BeTempRequestedServiceDetail,"DEMONSTRATIVE EXAMPLE - Temporary codes for indicating service details that can be requested from a Nurse","ValueSet/be-vs-requested-services-nurse-detail"
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-prescription-status-reason,1.0.0,active,,BePrescriptionStatusReason,BePrescriptionStatusReason,"DEMONSTRATIVE EXAMPLE - Status reason for the prescription. Initially defined as supporting CodeSystem for the referral prescription.","ValueSet/be-vs-prescription-status-reason"
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-treatment-status-reason,1.0.0,active,,BeTreatmentStatusReason,BeTreatmentStatusReason,"DEMONSTRATIVE EXAMPLE - Status reason for the treatment. Initially defined as supporting CodeSystem for the referral prescription.","ValueSet/be-vs-treatment-status-reason"
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-note-types,1.0.0,active,,BeCSNoteTypes,DRP Note Types,"Types of notes that can be associated with a prescription.","ValueSet/be-vs-note-type"
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-prescription-type,1.0.0,active,,BeCSPrescriptionType,DRP Prescription Type,"Technical types of prescriptions supported by the DRP system. Used for routing and workflow purposes.","ValueSet/be-vs-prescription-type"
