Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.drp.json	43040	-	0	0	0	0	0	0	17	64	0	0	0	0	0	0	0	0	0	0	0	204	347	0	0	0	8	0	1
fsh-generated/resources/CodeSystem-be-cs-care-proposal-status-reason.json	624	2	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	0	16	110	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-diabetic-education-type.json	5614	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	29	99	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-generic-care-types.json	3367	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	19	73	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-glycemia-measurement-timing.json	1742	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	17	56	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-note-types.json	1662	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	16	49	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-prescription-type.json	5453	1	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	24	60	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-session-types.json	1302	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	15	46	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-temp-requested-service-detail.json	10897	2	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	36	63	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-temp-requested-service.json	9105	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	31	56	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-prescription-status-reason.json	689	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	35	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-treatment-status-reason.json	801	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	34	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-uhmep-short.json	416	1	9	0	0	0	0	0	0	4	769	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-uhmep.json	981	0	3	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	1	0	0
fsh-generated/resources/Parameters-terminology-expansion.json	166	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/Practitioner-Requester1.json	567	1	0	0	0	0	0	0	0	514	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner2.json	578	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-DOCTOR-10829059004.json	511	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-DOCTOR-12009390800.json	514	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-NURSE-45094508408.json	505	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-be-sp-serviceRequest-statusReason.json	610	1	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example01-care02-colon-cleansing.json	1910	1	0	0	0	0	0	0	1	3339	0	0	0	0	0	0	0	0	0	0	0	12	20	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example02-referralprescription-nursing-digestive-system-care.json	2273	1	0	0	0	0	0	0	0	1292	0	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example03-referralprescription-nursing-compressiontherapy.json	2561	2	0	0	0	0	0	0	0	663	0	0	0	0	0	0	0	0	0	0	0	19	10	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example04-referralprescription-nursing-bladder-care.json	2193	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	19	9	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example05-referralprescription-nursing-digestive-system-care.json	2464	2	0	0	0	0	0	0	0	646	0	0	0	0	0	0	0	0	0	0	0	19	9	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example06-referralprescription-nursing-compression-therapy.json	2186	1	0	0	0	0	0	0	0	669	0	0	0	0	0	0	0	0	0	0	0	19	8	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example09-referralprescription-nursing-woundcare.json	2560	2	0	0	1	0	0	0	1	645	0	0	0	0	0	0	0	0	0	0	0	20	10	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example12-referralprescription-nursing-careproposal.json	1681	1	0	0	0	0	0	0	0	648	0	0	0	0	0	0	0	1	0	0	0	16	8	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example16-referralprescription-nursing-bladder-care.json	2192	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	19	9	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example24-referralprescription-nursing-non-reimbursable.json	2297	1	0	0	0	0	0	0	0	675	0	0	0	0	0	0	0	0	0	0	0	19	10	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example26-referralprescription-nursing-other.json	2134	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	18	8	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example32-referralprescription-nursing-chronical-psychiatric.json	2187	1	0	0	0	0	0	0	0	646	0	0	0	0	0	0	0	0	0	0	0	18	8	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-referralprescription-nursing-example2-digestive-system-care.json	2065	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	19	8	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-referralprescription-nursing-example3-compression-therapy.json	2195	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	20	9	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-referralprescription-nursing-example5-digestive-system-care.json	2029	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-referralprescription-nursing-example6-compression-therapy.json	2027	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-uc5a-1.json	2486	1	0	0	0	0	0	0	0	2701	0	0	0	0	0	0	0	0	0	0	0	17	7	0	0	0	0	0	1
fsh-generated/resources/ServiceRequest-ucgh222p12-1.json	2008	1	0	0	0	0	0	0	1	685	0	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh222p12-2.json	1995	1	0	0	0	0	0	0	0	668	0	0	0	0	0	0	0	0	0	0	0	17	7	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh222p12-3.json	2129	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh241p110-1.json	1729	1	0	0	1	0	0	0	0	645	0	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh241p111-1.json	1724	1	0	0	0	0	0	0	0	643	0	0	0	0	0	0	0	0	0	0	0	18	6	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh241p15-1.json	2297	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh241p16-1.json	2521	1	0	0	0	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh241p17-1.json	2650	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	18	8	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh241p18-1.json	2453	1	0	0	0	0	0	0	0	647	0	0	0	0	0	0	0	0	0	0	0	19	9	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh241p19-1.json	2370	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	18	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BeModelAssignment.json	7057	2	0	16	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	92	652	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeModelNursingPrescription.json	3175	1	0	19	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	65	217	0	0	0	2	0	0
