Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.drp.json	26555	-	0	0	0	0	0	0	18	73	0	0	0	0	0	0	0	1	0	0	0	226	294	0	0	0	0	10	0	1
fsh-generated/resources/CodeSystem-be-cs-annex81-status-reason.json	596	3	0	0	1	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	28	115	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-diabetic-education-type.json	5629	2	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	44	156	0	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-be-cs-generic-care-types.json	3373	1	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	32	105	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-glycemia-measurement-timing.json	1748	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	24	66	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-imaging-modality.json	3334	1	0	0	0	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	0	27	58	0	0	0	1	1	0	0
fsh-generated/resources/CodeSystem-be-cs-imaging-priority.json	1110	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	20	46	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-note-types.json	1668	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	23	50	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-prescription-type.json	5839	2	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	1	0	0	0	36	57	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-pss-indication.json	419945	56	0	0	6	0	0	0	65	513	0	0	3	0	0	0	0	4	0	0	0	1779	2248	0	0	0	0	94	0	2
fsh-generated/resources/CodeSystem-be-cs-radiology-supporting-info-role.json	608	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	13	35	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-request-track.json	1474	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	14	34	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-session-types.json	1308	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	14	31	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-prescription-status-reason.json	941	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	31	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-treatment-status-reason.json	804	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	13	30	0	0	0	0	1	0	0
fsh-generated/resources/GraphDefinition-full-referral-prescription.json	2909	2	0	0	0	0	0	0	1	69	0	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-pss-id.json	950	1	11	0	0	0	0	0	0	4	961	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-uhmep-short.json	416	1	3	0	0	0	0	0	0	2	123	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-be-ns-uhmep.json	981	1	3	0	0	0	0	0	0	2	51	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-be-op-approve-annex81.json	1071	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-be-op-reject-annex81.json	874	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	11	6	0	0	0	0	1	0	0
fsh-generated/resources/Parameters-terminology-expansion.json	166	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-be-questionnaire-imaging-attention-conditions.json	12901	3	0	0	0	0	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	58	254	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeModelAnnex81.json	8447	4	0	11	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	89	727	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-BeModelAssignment.json	7057	2	0	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	87	271	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeModelNursingPrescription.json	3175	1	0	19	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	57	237	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BeModelOrganisationClaim.json	3691	1	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	45	176	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BeModelReferralPrescription.json	9278	2	0	1	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	90	228	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-BeModelTreatmentStatus.json	3244	1	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	40	165	0	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-be-annex-81.json	12105	3	0	66	0	0	0	0	1	233	0	0	0	0	0	0	0	1	0	0	0	423	1310	0	0	0	0	23	0	0
fsh-generated/resources/StructureDefinition-be-ext-codeable-concept.json	1349	1	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	36	195	0	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-be-ext-feedback-to-prescriber.json	2093	1	0	7	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	42	202	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-be-ext-latest-end-date.json	1450	1	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	36	190	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-be-ext-performer-type.json	1500	1	0	5	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	36	191	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-be-ext-pss-info.json	1464	1	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	35	195	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-be-ext-radiology-supporting-info-role.json	1335	1	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	35	193	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-be-ext-relevant-info.json	3407	1	0	14	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	102	287	0	0	0	0	15	0	0
fsh-generated/resources/StructureDefinition-be-ext-string-date.json	1231	1	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	34	124	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-be-ext-urgency-justification.json	1183	1	0	5	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	34	104	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-be-ext-validity-period.json	1485	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	35	107	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-be-imaging-attention-conditions-response.json	1100	1	0	16	0	0	0	0	0	10	0	0	0	0	1	0	0	1	0	0	0	106	203	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-be-organization-task.json	3697	2	0	52	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	193	387	0	0	0	0	12	1	1
fsh-generated/resources/StructureDefinition-be-performer-task.json	3975	1	0	39	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	0	198	325	0	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-be-referral-servicerequest-diagnosticimaging.json	12566	2	0	118	0	0	0	0	1	64	0	0	0	0	0	0	0	2	0	0	0	537	907	0	0	1	0	22	0	2
fsh-generated/resources/StructureDefinition-be-referral-servicerequest-nursing.json	7514	2	0	43	0	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	0	400	1046	0	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-be-referral-servicerequest.json	14941	3	0	2	0	0	0	0	0	32	0	0	1	0	0	0	0	1	0	0	0	388	559	0	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-be-referral-task.json	3137	2	0	20	1	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	0	186	342	0	0	0	0	8	0	0
fsh-generated/resources/ValueSet-be-vs-annex81-care-requested.json	815	1	0	0	0	0	0	0	0	672	0	0	0	0	0	0	0	0	0	0	0	10	276	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-be-vs-annex81-medical-problem.json	1335	2	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	11	206	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-be-vs-annex81-nursing-diagnosis.json	1730	1	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	12	169	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-be-vs-annex81-status-reason.json	529	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	9	51	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-be-vs-annex81-technical-type.json	664	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10	52	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-be-vs-body-site.json	6772	1	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	26	240	0	0	0	0	0	0	0
