Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.drp.json	39132	-	0	0	0	0	0	0	16	80	0	0	0	0	0	0	0	1	0	0	164	186	0	0	0	11	0	5
fsh-generated/resources/CodeSystem-be-cs-annex81-status-reason.json	586	3	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	65	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-temp-requested-service-detail.json	10896	2	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	0	33	109	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-be-cs-temp-requested-service.json	9104	1	0	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0	0	0	31	86	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-prescription-status-reason.json	688	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	6	41	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-treatment-status-reason.json	800	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	43	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-be-ns-uhmep-short.json	421	0	11	0	0	0	0	0	0	5	400	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-uhmep.json	986	1	3	0	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/Parameters-terminology-expansion.json	166	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0
fsh-generated/resources/Practitioner-Requester1.json	567	1	0	0	0	0	0	0	0	477	0	0	0	0	0	0	0	0	0	0	5	9	0	0	1	0	0	0
fsh-generated/resources/Practitioner-practitioner2.json	578	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-DOCTOR-10829059004.json	511	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-DOCTOR-12009390800.json	514	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-NURSE-45094508408.json	505	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-be-sp-serviceRequest-statusReason.json	610	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	1	0	0
fsh-generated/resources/ServiceRequest-example01-care02-colon-cleansing.json	1910	2	0	0	0	0	0	0	0	2089	0	0	0	0	0	0	0	1	0	0	8	27	0	0	0	0	0	1
fsh-generated/resources/ServiceRequest-example02-referralprescription-nursing-digestive-system-care.json	2273	1	0	0	0	0	0	0	1	1278	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example03-referralprescription-nursing-compressiontherapy.json	2571	1	0	0	0	0	0	0	0	620	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example04-referralprescription-nursing-bladder-care.json	2193	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example05-referralprescription-nursing-digestive-system-care.json	2474	1	0	0	0	0	0	0	1	680	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example06-referralprescription-nursing-compression-therapy.json	2186	2	0	0	0	0	0	0	0	667	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example09-referralprescription-nursing-woundcare.json	2570	1	0	0	1	0	0	0	1	650	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example12-referralprescription-nursing-annex81.json	1674	1	0	0	0	0	0	0	0	690	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example16-referralprescription-nursing-bladder-care.json	2192	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example24-referralprescription-nursing-non-reimbursable.json	2297	1	0	0	0	0	0	0	1	625	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example26-referralprescription-nursing-other.json	2134	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example32-referralprescription-nursing-chronical-psychiatric.json	2187	1	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-referralprescription-nursing-example2-digestive-system-care.json	2065	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-referralprescription-nursing-example3-compression-therapy.json	2195	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-referralprescription-nursing-example5-digestive-system-care.json	2029	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-referralprescription-nursing-example6-compression-therapy.json	2027	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-uc5a-1.json	2486	1	0	0	0	0	0	0	0	2630	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh222p12-1.json	2012	1	0	0	0	0	0	0	0	699	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh222p12-2.json	2000	1	0	0	0	0	0	0	1	642	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh222p12-3.json	2133	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh241p110-1.json	1728	1	0	0	0	0	0	0	0	612	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh241p111-1.json	1723	2	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh241p15-1.json	2296	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh241p16-1.json	2520	1	0	0	0	0	0	0	0	604	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ucgh241p17-1.json	2649	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
