"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelAnnex81","BeModelAnnex81","","","",0,*,"","","","null {[]} {[]}
","BeModelAnnex81","Logical model describing the model for the Annex81 proposal and approval","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelAnnex81.identifier","BeModelAnnex81.identifier","","","",1,1,"","","","Identifier {[]} {[]}
","Business identifier of the Annex81 proposal / approval","Business identifier of the Annex81 proposal / approval","","","","","","","","","",,,,,"",,,,"BeModelAnnex81.identifier",1,1,"",""
"BeModelAnnex81.shortCode","BeModelAnnex81.shortCode","","","",1,1,"","","","Identifier {[]} {[]}
","Business short identifier allowing the healthcare professional to find a prescription associated with a patient","'Business' code allowing the healthcare professional to find a prescription associated with a patient","","","","","","","","","",,,,,"",,,,"BeModelAnnex81.shortCode",1,1,"",""
"BeModelAnnex81.recordedDate","BeModelAnnex81.recordedDate","","","",1,1,"","","","dateTime {[]} {[]}
","Date of encoding of the information by the Recorder.","Date of encoding of the information by the Recorder.","","","","","","","","","",,,,,"",,,,"BeModelAnnex81.recordedDate",1,1,"",""
"BeModelAnnex81.creationDate","BeModelAnnex81.creationDate","","","",1,1,"","","","dateTime {[]} {[]}
","Creation date of the referral prescription. This date will not change throughout the process. This date corresponds to the first recordedDate recorded for this referral prescription.","Creation date of the referral prescription. This date will not change throughout the process. This date corresponds to the first recordedDate recorded for this referral prescription.","","","","","","","","","",,,,,"",,,,"BeModelAnnex81.creationDate",1,1,"",""
"BeModelAnnex81.author","BeModelAnnex81.author","","","",1,1,"","","","Identifier {[]} {[]}
","The person who encodes the prescription (e.g. a doctor, nurse, midwife or dentist) and takes responsibility for their content. The unique identifier must be the National Register Number (NISS) or bis number.","Is the unique identifier of the person who encodes the prescription (e.g. a doctor, nurse, midwife or dentist) and takes responsibility for their content. The unique identifier must be the National Register Number (NISS) or bis number.","","","","","","","","","",,,,,"",,,,"BeModelAnnex81.author",1,1,"",""
"BeModelAnnex81.status","BeModelAnnex81.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Is the status of the referral prescription (e.g. planned, complete, stopped, suspended, in progress, ….)","Is the status of the referral prescription (e.g. planned, complete, stopped, suspended, in progress, ….)","","","","","","","","","",,,,,"",,,,"BeModelAnnex81.status",1,1,"",""
"BeModelAnnex81.statusReason","BeModelAnnex81.statusReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Gives the reason for the status of the referral prescription (treatment has been changed, patient is allergic, patient refuses, …)","Gives the reason for the status of the referral prescription (treatment has been changed, patient is allergic, patient refuses, …)","","","","","","","","","",,,,,"",,,,"BeModelAnnex81.statusReason",0,1,"",""
"BeModelAnnex81.careRequested","BeModelAnnex81.careRequested","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type of care requested (list of acts that each profession can do (not nomenclature code)) (snomed-ct code (procedure))","Type of care requested (list of acts that each profession can do (not nomenclature code)) (snomed-ct code (procedure))","","","","","","","","","",,,,,"",,,,"BeModelAnnex81.careRequested",1,1,"",""
"BeModelAnnex81.patient","BeModelAnnex81.patient","","","",1,1,"","","","Identifier {[]} {[]}
","The patient's identification. The unique identifier must be the National Patient Registry Number (NISS) or the patient bis","Is the patient's unique identifier. The unique identifier must be the National Patient Registry Number (NISS) or the patient bis","","","","","","","","","",,,,,"",,,,"BeModelAnnex81.patient",1,1,"",""
"BeModelAnnex81.originRequestId","BeModelAnnex81.originRequestId","","","",0,1,"","","","Identifier {[]} {[]}
","Reference to the original prescription on which the prescription is based (prescriptionId), care plan, follow-up path, ….  referenceId. Reference to the CarePlan that addresses this prescription.","Reference to the original prescription on which the prescription is based (prescriptionId), care plan, follow-up path, ….  referenceId. Reference to the CarePlan that addresses this prescription.","","","","","","","","","",,,,,"",,,,"BeModelAnnex81.originRequestId",0,1,"",""
