Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.drp.json	43816	-	0	0	0	0	0	0	17	53	0	0	0	0	0	0	0	1	0	0	0	227	289	0	0	0	0	7	0	5
fsh-generated/resources/CodeSystem-be-cs-annex81-status-reason.json	586	2	0	0	1	0	0	0	1	6	0	0	1	0	0	0	0	0	0	0	0	13	101	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-imaging-modality.json	3319	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	19	114	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-imaging-priority.json	1095	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	12	72	0	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-be-cs-implant-type.json	3338	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	19	66	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-request-track.json	1459	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	13	51	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-temp-requested-service-detail.json	10896	2	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	1	0	0	0	45	82	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-temp-requested-service.json	9104	2	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	39	69	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-prescription-status-reason.json	688	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	43	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-treatment-status-reason.json	800	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	44	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-precoordinated-radiology.json	11368	2	0	0	0	0	0	0	1	167	0	0	0	0	0	0	0	0	0	0	0	40	78	0	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-be-ns-uhmep-short.json	421	0	11	0	0	0	0	0	1	4	197	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-uhmep.json	986	1	3	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	1	0	0
fsh-generated/resources/Parameters-terminology-expansion.json	166	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0
fsh-generated/resources/Practitioner-Requester1.json	567	1	0	0	0	0	0	0	0	528	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	1	0	0	0
fsh-generated/resources/Practitioner-practitioner2.json	578	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-DOCTOR-10829059004.json	511	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0	1
fsh-generated/resources/PractitionerRole-DOCTOR-12009390800.json	514	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-NURSE-45094508408.json	505	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-be-questionnaire-imaging-attention-conditions.json	11129	3	0	0	0	0	0	0	2	52	0	0	0	0	0	0	0	0	0	0	0	52	39	0	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-be-sp-serviceRequest-statusReason.json	610	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example01-care02-colon-cleansing.json	1910	1	0	0	0	0	0	0	0	1836	0	0	0	0	0	0	0	0	0	0	0	14	22	0	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example02-referralprescription-nursing-digestive-system-care.json	2273	2	0	0	0	0	0	0	1	265	0	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0	1
