URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/be-vs-task-intent,ValueSet/request-intent,ValueSet/task-intent,ValueSet/be-vs-request-intent"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/be-vs-imaging-priority"
http://hl7.org/fhir/task-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.1241",TaskIntent,TaskIntent,"Distinguishes whether the task is a proposal, plan or full order.","ValueSet/task-intent"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/be-vs-parameter-type,ValueSet/servicerequest-category,ValueSet/be-vs-annex81-medical-problem,ValueSet/be-vs-sample-substance-type,ValueSet/be-vs-annex81-nursing-diagnosis,ValueSet/be-vs-body-site,ValueSet/be-vs-diagnostic-imaging-procedure,ValueSet/be-vs-nursing-care-requested,ValueSet/be-vs-body-topography,ValueSet/be-vs-annex81-care-requested,ValueSet/be-vs-diabetes-education-identifier,ValueSet/be-vs-categories-of-care,ValueSet/procedure-code,ValueSet/servicerequest-orderdetail,ValueSet/be-vs-diagnostic-imaging-indication,ValueSet/be-vs-educator-type,ValueSet/be-vs-implant-type"
https://www.ehealth.fgov.be/standards/fhir/core/CodeSystem/cd-hcparty,2.2.0,active,,HCParty,BeCdHcParty,"healthcare party in Belgium.","ValueSet/be-vs-cd-hcparty"
https://www.ehealth.fgov.be/standards/fhir/referral/CodeSystem/be-cs-annex81-status-reason,1.0.0,active,,BeCSAnnex81StatusReason,eReferral Annex 81 Status Reason,"DEMONSTRATIVE EXAMPLE - Status reason for the Annex 81","ValueSet/be-vs-annex81-status-reason"
https://www.ehealth.fgov.be/standards/fhir/referral/CodeSystem/be-prescription-status-reason,1.0.0,active,,BePrescriptionStatusReason,BePrescriptionStatusReason,"DEMONSTRATIVE EXAMPLE - Status reason for the prescription. Initially defined as supporting CodeSystem for the referral prescription.","ValueSet/be-vs-prescription-status-reason"
https://www.ehealth.fgov.be/standards/fhir/referral/CodeSystem/be-treatment-status-reason,1.0.0,active,,BeTreatmentStatusReason,BeTreatmentStatusReason,"DEMONSTRATIVE EXAMPLE - Status reason for the treatment. Initially defined as supporting CodeSystem for the referral prescription.","ValueSet/be-vs-treatment-status-reason"
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-diabetic-education-type,1.0.0,active,,BeCSdiabeticEducationType,eReferral Diabetic Education Type,"Types of diabetes education activities.","ValueSet/be-vs-education-type-with-trajectory,ValueSet/be-vs-education-type-without-trajectory"
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-glycemia-measurement-timing,1.0.0,active,,BeCSGlycemiaMeasurementTiming,eReferral Glycemia Measurement Timing,"Timing of glycemia measurements.","ValueSet/be-vs-glycemia-measurement-time"
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-imaging-modality,1.0.0,draft,,BeCSImagingModality,eReferral Imaging Modality,"Imaging modality types for prior imaging requests","ValueSet/be-vs-imaging-modality"
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-note-types,1.0.0,active,,BeCSNoteTypes,eReferral Note Types,"Types of notes that can be associated with a prescription.","ValueSet/be-vs-note-type"
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-prescription-type,1.0.0,active,,BeCSPrescriptionType,eReferral Prescription Type,"Technical types of prescriptions supported by the eReferral system. Used for routing and workflow purposes.","ValueSet/be-vs-nursing-prescription-technical-type,ValueSet/be-vs-annex81-technical-type,ValueSet/be-vs-prescription-type"
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-pss-indication,1.0.0,draft,,BeCSPSSIndication,PSS Indication CodeSystem,"PSS indication codes for diagnostic imaging requests.","ValueSet/be-vs-pss-indication"
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-radiology-supporting-info-role,1.0.0,draft,,BeCSRadiologySupportingInfoRole,eReferral Radiology SupportingInfo Role CodeSystem,"Defines the codes representing the roles of supporting information in an eReferral for radiology.","ValueSet/be-vs-radiology-supporting-info-role"
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-request-track,1.0.0,draft,,BeCSRequestTrack,eReferral Request Track,"Care setting track codes for diagnostic imaging requests","ValueSet/be-vs-request-track"
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-session-types,1.0.0,active,,BeCSSessionTypes,eReferral Session Types,"Types of sessions for education or care activities.","ValueSet/be-vs-session-type,ValueSet/be-vs-session-type-extended"
