Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.referral.json	28082	-	0	0	0	0	0	0	17	42	0	0	0	0	0	0	0	0	0	0	0	210	306	0	0	0	0	6	0	2
fsh-generated/resources/CodeSystem-be-cs-annex81-status-reason.json	601	2	0	0	1	0	0	0	0	5	0	0	1	0	0	0	0	1	0	0	0	16	110	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-diabetic-education-type.json	5629	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	37	112	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-generic-care-types.json	3373	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	18	89	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-glycemia-measurement-timing.json	1748	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	14	93	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-imaging-modality.json	3334	1	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	16	70	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-imaging-priority.json	1110	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	51	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-note-types.json	1668	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	51	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-prescription-type.json	5839	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	25	64	0	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-be-cs-pss-indication.json	419949	64	0	0	4	0	0	0	37	500	0	0	4	0	0	0	0	6	0	0	0	1484	2409	0	0	0	0	74	0	4
fsh-generated/resources/CodeSystem-be-cs-radiology-supporting-info-role.json	784	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11	31	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-request-track.json	1474	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	29	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-be-cs-session-types.json	1308	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	28	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-prescription-status-reason.json	946	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	27	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-treatment-status-reason.json	809	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	26	0	0	0	0	0	0	0
fsh-generated/resources/GraphDefinition-full-referral-prescription.json	2912	1	0	0	0	0	0	0	1	59	0	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-be-ns-pss-id.json	950	2	10	0	1	0	0	0	0	4	679	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0	1
