/github/workspace/fsh-generated/resources/CarePlan-gpvisit.json: line 20, col 10, Error - Unable to resolve resource with reference 'encounter1' (STRUCTURE)
/github/workspace/fsh-generated/resources/CodeSystem-be-cs-temp-requested-service-detail.json: line 1, col 4420, Warning - value should not start or finish with whitespace 'Begeleiding indien geen zelfzorg ' (INVALID)
/github/workspace/fsh-generated/resources/CodeSystem-be-cs-temp-requested-service-detail.json: line 1, col 4994, Warning - value should not start or finish with whitespace 'Opvolging van de patiënt die niet overstapt op zelfzorg\u00a0' (INVALID)
/github/workspace/fsh-generated/resources/CodeSystem-be-cs-temp-requested-service-detail.json: line 1, col 5321, Warning - value should not start or finish with whitespace 'Start insuline of GLP 1-agonist\u00a0' (INVALID)
/github/workspace/fsh-generated/resources/CodeSystem-be-cs-temp-requested-service-detail.json: line 1, col 5607, Warning - value should not start or finish with whitespace 'Bijkomende educatie HBA1C>7.5\u00a0' (INVALID)
/github/workspace/fsh-generated/resources/CodeSystem-be-cs-temp-requested-service-detail.json: line 1, col 5934, Warning - value should not start or finish with whitespace 'Bijkomende educatie omschakeling van 1 naar 2 injecties\u00a0' (INVALID)
/github/workspace/fsh-generated/resources/CodeSystem-be-cs-temp-requested-service-detail.json: line 1, col 6276, Warning - value should not start or finish with whitespace 'Educatie bij patiënten met orale medicatie\u00a0' (INVALID)
/github/workspace/fsh-generated/resources/CodeSystem-be-cs-temp-requested-service-detail.json: line 1, col 6551, Warning - value should not start or finish with whitespace 'Educatie materiaal\u00a0' (INVALID)
/github/workspace/fsh-generated/resources/OperationDefinition-be-op-cancel.json: line 1, col 1177, Warning - Rule opd-0: 'Name should be usable as an identifier for the module by machine processing applications such as code generation' Failed (INVARIANT)
/github/workspace/fsh-generated/resources/ServiceRequest-diagnostic-imaging-basic-example-concreteWithDetails.json: line 108, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-diagnostic-imaging-basic-example-concreteWithText.json: line 106, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-diagnostic-imaging-basic-example-everything-contained.json: line 176, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-diagnostic-imaging-basic-example-useOfModality.json: line 104, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-diagnostic-imaging-basic-example-useOfModality.json: line 124, col 10, Warning - ValueSet http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_29.html not found (CODEINVALID)
/github/workspace/fsh-generated/resources/ServiceRequest-diagnostic-imaging-basic-example-useOfModality.json: line 132, col 10, Warning - ValueSet http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_29.html not found (CODEINVALID)
/github/workspace/fsh-generated/resources/ServiceRequest-example01-care02-colon-cleansing.json: line 162, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-example02-referralprescription-nursing-digestive-system-care.json: line 141, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ServiceRequest-example03-referralprescription-nursing-compressiontherapy.json: line 173, col 20, Info - Reference to draft item http://hl7.org/fhir/request-intent|4.0.1 (BUSINESSRULE)
